"n","Green tot","Maximal tot","Cliques","Subgroups","Making graphs"
1, 1, 0, 0, 0, 0
2, 1, 1, 0, 0, 0
3, 1, 5, 0, 0, 2
4, 2, 11, 1, 0, 5
5, 2, 10, 0, 0, 5
6, 3, 12, 0, 0, 6
7, 7, 15, 1, 0, 8
8, 8, 20, 1, 0, 11
9, 13, 24, 1, 0, 14
10, 37, 33, 3, 0, 20
11, 62, 42, 4, 0, 27
12, 145, 46, 6, 0, 27
13, 285, 63, 12, 0, 33
14, 681, 83, 27, 0, 37
15, 1357, 125, 59, 0, 46
16, 3456, 225, 153, 0, 48
17, 8423, 515, 421, 0, 64
18, 16516, 1063, 962, 0, 63
19, 42996, 2759, 2603, 0, 102
20, 113095, 7354, 7184, 0, 93

